name,score,us_modern_2010_plus,nyc_recent_2018_plus
Alejandro,13108,11892,152
Victor,13103,11559,193
Abraham,13076,7876,650
Lydia,13056,12272,98
Quinn,13039,11751,161
Nora,13035,10515,315
Nicole,12973,11125,231
Aubree,12950,12774,22
Luna,12930,5114,977
Axel,12847,9807,380
Destiny,12777,11889,111
Isabelle,12765,10757,251
Jade,12652,10692,245
Sean,12634,11810,103
Edward,12619,10763,232
Annabelle,12574,11894,85
Kaden,12564,12388,22
George,12495,9471,378
Alice,12478,9358,390
Kaiden,12444,10604,230
Marcus,12369,11105,158
Eliana,12364,8604,470
Patrick,12279,11311,121
Alan,12189,9629,320
Sawyer,12168,12088,10
Paige,12111,11279,104
Emmanuel,12110,9862,281
Preston,12091,11651,55
Natalia,11987,10955,129
Jesse,11975,11503,59
Wesley,11960,10360,200
Eleanor,11898,9242,332
Reagan,11869,11789,10
Angelina,11868,10396,184
Mya,11862,10998,108
Jordyn,11837,11389,56
Ezra,11834,8210,453
Mariah,11815,11639,22
Kai,11617,8281,417
Luca,11589,6061,691
Brady,11581,11405,22
Caden,11567,11295,34
Kaitlyn,11549,11109,55
Isabel,11533,9685,231
Liliana,11519,10303,152
Brielle,11487,9519,246
Lincoln,11456,10936,65
Charlie,11454,9742,214
Kendall,11438,11438,0
Roman,11396,9820,197
Piper,11353,11057,37
Oscar,11346,9370,247
Reese,11343,10815,66
Lilly,11285,11077,26
Mary,11229,10669,70
Camden,11198,11198,0
Gabrielle,11162,10322,105
Nicolas,11046,8774,284
Elena,11022,8398,328
Amir,10934,5686,656
Amy,10926,8854,259
Vanessa,10803,10051,94
Braxton,10800,10800,0
Mark,10774,9158,202
Valeria,10668,9540,141
Jessica,10601,9977,78
Jude,10590,9838,94
Cayden,10521,10073,56
Grant,10358,9886,59
Clara,10313,8697,202
Katelyn,10281,10281,0
Malachi,10249,9273,122
Vivian,10222,8798,178
Adriana,10184,8936,156
Michelle,10181,8373,226
Zion,10163,7331,354
Omar,10150,7774,297
Ariel,10125,7837,286
Rylan,10094,10094,0
Devin,10005,9653,44
Declan,9940,9268,84
Laila,9909,8709,150
Silas,9864,9560,38
Greyson,9852,7980,234
Gael,9808,6296,439
Aurora,9796,7220,322
Aliyah,9780,8740,130
Lyla,9674,8946,91
Jayce,9654,7254,300
Kenneth,9645,8949,87
Juliana,9600,8472,141
Eden,9461,8357,138
Miriam,9458,4018,680
Gage,9411,9411,0
Maddox,9404,9068,42
Paisley,9403,9403,0
Jaiden,9329,8665,83
Valerie,9328,7624,213
Rebecca,9275,8115,145
Derek,9264,8336,116
Jayla,9144,8016,141
Moshe,9113,1801,914
Josephine,9111,7311,225
Harrison,9094,7878,152
Jasper,9094,5182,489
Brooklynn,8984,8984,0
Summer,8969,7121,231
Peter,8911,7383,191
Emilia,8906,4522,548
Jennifer,8892,8420,59
Bradley,8866,8682,23
Paul,8840,8096,93
Melody,8835,6667,271
Stephanie,8807,8087,90
Mckenzie,8783,8615,21
Delilah,8722,7802,115
Ezekiel,8720,7568,144
Muhammad,8717,2125,824
Andres,8697,7905,99
Jorge,8674,8058,77
Cody,8622,8318,38
Gracie,8603,8523,10
Eduardo,8565,8109,57
Hadley,8508,8396,14
Emerson,8507,7955,69
Collin,8505,8505,0
Tanner,8490,8490,0
Amari,8306,6274,254
Kylee,8295,8295,0
Lila,8262,7230,129
Daniela,8236,6900,167
Dakota,8221,8133,11
Izabella,8205,8125,10
Weston,8200,8040,20
Makenzie,8175,8175,0
Amaya,8157,5605,319
Elise,8143,7591,69
Conner,8115,8115,0
Catherine,8111,7191,115
Elliot,8101,6197,238
Cora,7991,7351,80
Hazel,7973,6485,186
Seth,7961,7793,21
Javier,7952,7176,97
Gabriela,7922,6874,131
Calvin,7896,7320,72
Angela,7893,6773,140
Margaret,7880,6864,127
Cristian,7850,7202,81
Daisy,7837,7205,79
Tucker,7802,7802,0
Trevor,7800,7800,0
Emmett,7799,7191,76
Alana,7776,6968,101
Sienna,7762,5322,305
Josue,7747,6531,152
Skyler,7712,7632,10
Maximus,7709,6813,112
Melissa,7700,6916,98
Giselle,7647,7303,43
Israel,7629,6077,194
Erick,7541,6205,167
Rowan,7462,6638,103
Damien,7441,6969,59
Isla,7427,5507,240
Chaya,7427,1435,749
Jaylen,7423,6799,78
Travis,7408,7328,10
Abel,7404,6716,86
Ivy,7376,6008,171
Simon,7318,5670,206
Julianna,7310,6750,70
King,7300,4836,308
Jada,7290,7066,28
Kingston,7265,7065,25
Jameson,7236,6868,46
Myles,7223,6039,148
Garrett,7198,7198,0
Rose,7193,4601,324
Bennett,7192,6656,67
Jenna,7181,6885,37
Alaina,7175,7087,11
Keira,7171,6811,45
Megan,7153,7041,14
Lukas,7153,5857,162
Francisco,7138,6674,58
Leilani,7101,5213,236
Leila,7082,5618,183
Xander,7037,6421,77
Brantley,6997,6997,0
Everett,6988,6340,81
Diana,6953,5537,177
Haley,6939,6939,0
Rafael,6923,4923,250
Fiona,6911,5511,175
Alina,6877,4765,264
Willow,6867,6507,45
Stephen,6852,6308,68
Zane,6840,6312,66
Lucia,6826,5058,221
Aniyah,6817,6329,61
Harmony,6814,5862,119
Alivia,6801,6801,0
Fernando,6793,6481,39
Ximena,6784,6000,98
Spencer,6774,6286,61
Kate,6736,6560,22
Raymond,6735,5775,120
Ricardo,6715,6411,38
Londyn,6667,6067,75
Graham,6659,6059,75
Ryleigh,6646,6646,0
Eliza,6641,5521,140
Griffin,6635,6307,41
Ana,6629,5573,132
Cesar,6573,6141,54
Zayden,6567,5687,110
Martin,6566,5206,170
Adrianna,6564,6372,24
Manuel,6556,6068,61
Chance,6539,5987,69
Shane,6514,6298,27
Fatima,6491,4347,268
Ashlyn,6460,6460,0
Emery,6459,6363,12
Lorenzo,6439,4479,245
Jase,6392,6392,0
Ryker,6372,6372,0
Miranda,6365,6029,42
Cecilia,6358,5294,133
Ali,6342,4414,241
Corbin,6311,6311,0
Jeffrey,6298,5874,53
Edwin,6294,5670,78
Mario,6288,6088,25
Juliet,6280,4912,171
Dean,6226,5194,129
Katie,6223,6223,0
Kinley,6205,6205,0
Teagan,6193,6097,12
Jacqueline,6192,5896,37
Athena,6188,4548,205
Lola,6178,5546,79
Drake,6160,6160,0
Kinsley,6137,6137,0
Alayna,6134,5758,47
Allie,6111,6111,0
Elliott,6109,5413,87
Marley,6070,5894,22
Adalyn,6032,6032,0
Trenton,6030,6030,0
Alexandria,6010,6010,0
Landen,6002,6002,0
Hector,5986,5434,69
Keegan,5967,5967,0
Andre,5961,5721,30
Andy,5959,5095,108
Presley,5953,5953,0
Judah,5935,4863,134
Tessa,5933,5397,67
Camille,5923,5099,103
Amanda,5920,5248,84
Juliette,5875,3659,277
Brynn,5868,5868,0
Adeline,5863,4703,145
Finn,5855,4767,136
Hope,5852,5428,53
Felix,5834,4042,224
Maci,5831,5831,0
Edgar,5821,5533,36
Nina,5820,4076,218
Chaim,5815,1103,589
Ayla,5806,4142,208
Genevieve,5796,5300,62
Chelsea,5783,5255,66
Shelby,5758,5758,0
Marco,5755,4955,100
Leon,5715,3083,329
Norah,5693,5445,31
Danielle,5684,5588,12
Johnathan,5681,5681,0
Mikayla,5680,5680,0
Leslie,5669,5141,66
Callie,5652,5540,14
Emiliano,5634,4906,91
Makenna,5583,5583,0
Iris,5578,4314,158
Jared,5577,4993,73
Amber,5571,4867,88
Dominick,5570,5178,49
Phoenix,5544,4752,99
Dante,5541,4989,69
Drew,5533,5533,0
Arya,5517,2581,367
Mckenna,5515,5515,0
Kameron,5510,5070,55
Finley,5495,5399,12
Tyson,5454,5454,0
Alexia,5448,5448,0
Troy,5431,5431,0
Donovan,5403,5403,0
Maggie,5391,5391,0
Chana,5390,1222,521
Zander,5388,5388,0
Clayton,5362,5362,0
Briana,5345,4897,56
Cash,5337,5337,0
Louis,5334,3822,189
Addyson,5322,5322,0
Sabrina,5316,4828,61
Kyler,5267,5267,0
Shawn,5266,5178,11
Erin,5253,5157,12
Delaney,5248,5248,0
Caiden,5228,4868,45
Alicia,5213,4765,56
Jillian,5211,5211,0
Paxton,5210,5210,0
Dallas,5185,5017,21
Braylon,5175,5175,0
Arthur,5166,3382,223
Alison,5157,4621,67
Daniella,5129,4217,114
Brendan,5119,4879,30
Lexi,5107,5107,0
Tatum,5092,5092,0
Nyla,5089,3641,181
Lyric,5082,4738,43
August,5080,3480,200
